ds,y
2016/9/13,68.849998
2016/9/14,68.449997
2016/9/19,71
2016/9/20,70.900002
2016/9/21,71.25
2016/9/22,71.400002
2016/9/23,71.900002
2016/9/26,71
2016/9/27,71
2016/9/28,71
2016/9/29,71.900002
2016/9/30,70.949997
2016/10/3,71.449997
2016/10/4,71.75
2016/10/5,71.5
2016/10/6,71.699997
2016/10/7,71.650002
2016/10/11,71.449997
2016/10/12,72.25
2016/10/13,71.699997
2016/10/14,71.449997
2016/10/17,71.449997
2016/10/18,71.949997
2016/10/19,72.349998
2016/10/20,72.650002
2016/10/21,72.599998
2016/10/24,72.699997
2016/10/25,73.400002
2016/10/26,73
2016/10/27,72.599998
2016/10/28,72.599998
2016/10/31,72.599998
2016/11/1,72.599998
2016/11/2,71.75
2016/11/3,71.199997
2016/11/4,71
2016/11/7,72
2016/11/8,72.349998
2016/11/9,70
2016/11/10,72
2016/11/11,70.050003
2016/11/14,70.099998
2016/11/15,69.900002
2016/11/16,70
2016/11/17,70.199997
2016/11/18,70.400002
2016/11/21,70.5
2016/11/22,71.449997
2016/11/23,71.800003
2016/11/24,71.400002
2016/11/25,71.349998
2016/11/28,71.75
2016/11/29,71.650002
2016/11/30,71.699997
2016/12/1,72
2016/12/2,71.199997
2016/12/5,71.099998
2016/12/6,72
2016/12/7,72
2016/12/8,72.900002
2016/12/9,73.150002
2016/12/12,72.849998
2016/12/13,72.949997
2016/12/14,73.099998
2016/12/15,73
2016/12/16,72.300003
2016/12/19,71.849998
2016/12/20,71.75
2016/12/21,71.699997
2016/12/22,70.800003
2016/12/23,70.550003
2016/12/26,70.800003
2016/12/27,70.75
2016/12/28,71.599998
2016/12/29,71.25
2016/12/30,71.800003
2017/1/3,71.900002
2017/1/4,71.849998
2017/1/5,72.5
2017/1/6,72.650002
2017/1/9,72.449997
2017/1/10,72.400002
2017/1/11,72.400002
2017/1/12,73.150002
2017/1/13,72.599998
2017/1/16,72
2017/1/17,72.300003
2017/1/18,72.150002
2017/1/19,71.949997
2017/1/20,72.150002
2017/1/23,72.75
2017/1/24,73.300003
2017/2/2,72.900002
2017/2/3,72.849998
2017/2/6,73.25
2017/2/7,73.300003
2017/2/8,71.75
2017/2/9,72
2017/2/10,72.800003
2017/2/13,72.949997
2017/2/14,73.199997
2017/2/15,73.900002
2017/2/16,73.449997
2017/2/17,73.349998
2017/2/18,null
2017/2/20,73.099998
2017/2/21,73.25
2017/2/22,73.300003
2017/2/23,73.099998
2017/2/24,73.150002
2017/3/1,72.349998
2017/3/2,72.550003
2017/3/3,72.099998
2017/3/6,72.150002
2017/3/7,72.449997
2017/3/8,72.849998
2017/3/9,72.050003
2017/3/10,72
2017/3/13,72.5
2017/3/14,73
2017/3/15,72.849998
2017/3/16,73.800003
2017/3/17,74
2017/3/20,73.949997
2017/3/21,74.900002
2017/3/22,74.199997
2017/3/23,74.349998
2017/3/24,74.25
2017/3/27,74.199997
2017/3/28,74.25
2017/3/29,74
2017/3/30,73.900002
2017/3/31,73.699997
2017/4/5,74.650002
2017/4/6,74.400002
2017/4/7,74.099998
2017/4/10,74.199997
2017/4/11,73.900002
2017/4/12,74.050003
2017/4/13,74.400002
2017/4/14,73.550003
2017/4/17,73.599998
2017/4/18,73.599998
2017/4/19,72.800003
2017/4/20,72.800003
2017/4/21,73.5
2017/4/24,73.650002
2017/4/25,74.349998
2017/4/26,74.550003
2017/4/27,74.5
2017/4/28,74.550003
2017/5/2,75.199997
2017/5/3,75.550003
2017/5/4,75.650002
2017/5/5,75.150002
2017/5/8,75.699997
2017/5/9,75.949997
2017/5/10,76.25
2017/5/11,76.5
2017/5/12,76.300003
2017/5/15,76.5
2017/5/16,76.5
2017/5/17,76.300003
2017/5/18,75.900002
2017/5/19,75.849998
2017/5/22,76.050003
2017/5/23,76.349998
2017/5/24,76.300003
2017/5/25,77
2017/5/26,76.949997
2017/5/31,76.5
2017/6/1,76.900002
2017/6/2,77.199997
2017/6/3,null
2017/6/5,78
2017/6/6,77.949997
2017/6/7,77.949997
2017/6/8,78.25
2017/6/9,78
2017/6/12,77.150002
2017/6/13,77.25
2017/6/14,76.849998
2017/6/15,76.900002
2017/6/16,77.699997
2017/6/19,78.550003
2017/6/20,79.449997
2017/6/21,79.550003
2017/6/22,79.75
2017/6/23,79.699997
2017/6/26,81.400002
2017/6/27,81.300003
2017/6/28,80.550003
2017/6/29,80.650002
2017/6/30,80.400002
2017/7/3,80.449997
2017/7/4,80
2017/7/5,80.75
2017/7/6,80.400002
2017/7/7,79.949997
2017/7/10,80.349998
2017/7/11,81.550003
2017/7/12,81.550003
2017/7/13,82.199997
2017/7/14,82.050003
2017/7/17,82.199997
2017/7/18,82.400002
2017/7/19,82.699997
2017/7/20,82.650002
2017/7/21,82.099998
2017/7/24,82.300003
2017/7/25,82.449997
2017/7/26,82.150002
2017/7/27,83
2017/7/28,82.099998
2017/7/31,81.349998
2017/8/1,81.800003
2017/8/2,82.5
2017/8/3,82.199997
2017/8/4,82.349998
2017/8/7,82.949997
2017/8/8,82.900002
2017/8/9,82.150002
2017/8/10,81.599998
2017/8/11,81.25
2017/8/14,80.75
2017/8/15,81.300003
2017/8/16,81
2017/8/17,81.650002
2017/8/18,81.150002
2017/8/21,81.050003
2017/8/22,81.849998
2017/8/23,81.75
2017/8/24,82.550003
2017/8/25,82.699997
2017/8/28,82.550003
2017/8/29,82.300003
2017/8/30,82.699997
2017/8/31,82.949997
2017/9/1,83
2017/9/4,82.849998
2017/9/5,82.949997
2017/9/6,82.599998
2017/9/7,82.25
2017/9/8,82.699997
2017/9/11,82.550003
2017/9/12,82.849998
2017/9/13,82.300003
2017/9/14,82.349998
2017/9/15,82.349998
2017/9/18,83.150002
2017/9/19,82.75
